Fecha,Temp_Max,Temp_Min,Temp_Prom,Humedad_Max,Humedad_Min,Humedad_Prom,Lluvia,Presion,Viento_Max,Año,Decada
1990-03-27,33.8,23.8,28.19,76,35,56.04,2.5,1006.86,7.8,1990,1990
1990-03-28,33.9,22.8,27.69,71,32,53.83,0.1,1006.27,8.4,1990,1990
1990-03-29,34.1,22.3,27.56,72,33,56.21,0.5,1005.5,8.8,1990,1990
1990-03-30,34.0,23.3,27.93,75,34,58.12,0.2,1005.25,11.3,1990,1990
1990-03-31,32.6,23.4,27.2,85,45,69.46,2.5,1005.59,6.0,1990,1990
1990-04-01,31.1,24.0,26.57,91,54,76.21,4.1,1006.42,6.6,1990,1990
1990-04-02,31.1,23.0,26.27,92,51,75.42,2.7,1006.69,11.5,1990,1990
1990-04-03,32.1,22.7,26.24,93,48,75.71,6.3,1006.3,8.0,1990,1990
1990-04-04,30.1,22.9,25.95,91,57,77.88,3.9,1006.25,9.3,1990,1990
1990-04-05,32.8,21.6,26.45,93,40,70.33,3.0,1006.7,9.0,1990,1990
1990-04-06,32.8,21.8,27.0,87,39,65.75,0.0,1006.42,9.5,1990,1990
1990-04-07,32.0,23.5,27.07,86,50,70.17,5.9,1005.85,6.9,1990,1990
1990-04-08,33.3,24.5,28.04,87,48,70.33,4.5,1004.94,6.3,1990,1990
1990-04-09,34.1,24.9,28.75,82,35,59.67,0.3,1004.64,8.7,1990,1990
1990-04-10,34.2,24.6,28.52,62,34,50.04,0.2,1004.5,9.4,1990,1990
1990-04-11,34.3,22.5,27.99,71,36,56.33,0.6,1003.72,8.5,1990,1990
1990-04-12,34.7,23.7,28.7,70,35,54.0,0.1,1003.89,8.7,1990,1990
1990-04-13,35.2,24.4,28.94,68,33,53.83,0.4,1005.24,8.8,1990,1990
1990-04-14,34.5,24.9,28.47,81,39,59.71,4.5,1006.0,7.2,1990,1990
1990-04-15,33.1,24.6,27.95,80,41,63.83,4.3,1005.78,7.4,1990,1990
1990-04-16,32.8,24.0,27.24,98,44,70.67,5.9,1005.2,8.5,1990,1990
1990-04-17,32.3,23.4,27.39,90,43,67.5,3.5,1005.08,6.3,1990,1990
1990-04-18,33.4,23.0,27.9,77,40,59.5,0.3,1004.45,8.4,1990,1990
1990-04-19,34.4,23.6,28.36,72,30,52.29,0.4,1004.34,10.2,1990,1990
1990-04-20,34.1,24.0,28.31,65,33,49.88,0.0,1004.41,10.5,1990,1990
1990-04-21,34.3,23.7,28.51,64,34,51.46,0.3,1003.83,9.4,1990,1990
1990-04-22,33.7,24.7,28.23,71,38,58.04,1.7,1003.1,8.4,1990,1990
1990-04-23,33.0,24.6,27.44,83,43,65.92,4.7,1004.04,7.2,1990,1990
1990-04-24,33.4,24.0,27.58,82,40,65.33,4.0,1004.56,7.3,1990,1990
1990-04-25,33.5,23.7,27.73,82,39,64.54,1.1,1005.09,9.4,1990,1990
1990-04-26,32.0,22.8,26.66,92,52,76.33,6.8,1004.59,7.0,1990,1990
1990-04-27,32.1,23.7,26.46,92,52,78.75,14.1,1004.46,8.5,1990,1990
1990-04-28,30.3,23.0,26.05,98,63,83.29,9.0,1005.6,8.4,1990,1990
1990-04-29,28.7,23.5,25.02,99,73,91.38,15.9,1005.99,7.1,1990,1990
